age,workclass,education,marital_status,occupation,relationship,race,sex,capital_change,hours_per_week,native_country,target
45,Private,2,Divorced,Exec-managerial,Own-child,White,Male,between -50K and 0,40,United-States,0
30,Federal-gov,1,Married-civ-spouse,Adm-clerical,Own-child,White,Male,equal to 0,40,United-States,0
22,State-gov,1,Married-civ-spouse,Other-service,Husband,Black,Male,equal to 0,15,United-States,0
48,Private,0,Never-married,Machine-op-inspct,Unmarried,White,Male,equal to 0,40,Puerto-Rico,0
21,Private,1,Never-married,Machine-op-inspct,Own-child,White,Male,equal to 0,40,United-States,0
19,Private,0,Married-AF-spouse,Adm-clerical,Wife,White,Female,equal to 0,25,United-States,0
31,Private,1,Married-civ-spouse,Sales,Husband,White,Male,equal to 0,38,United-States,1
48,Self-emp-not-inc,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,equal to 0,40,United-States,0
31,Private,0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,equal to 0,43,United-States,0
53,Self-emp-not-inc,2,Married-civ-spouse,Prof-specialty,Husband,White,Male,equal to 0,40,United-States,0
24,Private,2,Married-civ-spouse,Tech-support,Husband,White,Male,equal to 0,50,United-States,0
49,Private,0,Separated,Adm-clerical,Unmarried,White,Female,equal to 0,40,United-States,0
25,Private,0,Never-married,Handlers-cleaners,Not-in-family,White,Male,equal to 0,35,United-States,0
57,Federal-gov,2,Married-civ-spouse,Prof-specialty,Husband,Black,Male,equal to 0,40,United-States,1
53,Private,0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,equal to 0,38,United-States,0
44,Private,3,Divorced,Exec-managerial,Unmarried,White,Female,equal to 0,40,United-States,0
41,State-gov,1,Married-civ-spouse,Craft-repair,Husband,White,Male,equal to 0,40,United-States,0
29,Private,1,Never-married,Prof-specialty,Not-in-family,White,Male,equal to 0,43,United-States,0
25,Private,1,Married-civ-spouse,Exec-managerial,Wife,Other,Female,equal to 0,40,United-States,0
18,Private,0,Never-married,Other-service,Own-child,White,Female,equal to 0,30,United-States,0
47,Private,3,Married-civ-spouse,Prof-specialty,Wife,White,Female,between -50K and 0,60,Honduras,1
50,Federal-gov,2,Divorced,Exec-managerial,Not-in-family,White,Male,equal to 0,55,United-States,1
47,Self-emp-inc,0,Divorced,Exec-managerial,Not-in-family,White,Male,equal to 0,60,United-States,0
43,Private,1,Married-civ-spouse,Tech-support,Husband,White,Male,equal to 0,40,United-States,1
46,Private,0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,equal to 0,40,Mexico,0
35,Private,1,Married-civ-spouse,Other-service,Husband,White,Male,equal to 0,40,Puerto-Rico,0
41,Private,0,Married-civ-spouse,Adm-clerical,Husband,White,Male,equal to 0,48,United-States,0
30,Private,0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,between 0 and 50K,40,United-States,0
30,Private,2,Married-civ-spouse,Sales,Husband,White,Male,between 0 and 50K,40,United-States,0
32,Private,0,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,equal to 0,40,United-States,0
48,Private,0,Married-civ-spouse,Transport-moving,Husband,White,Male,equal to 0,40,United-States,0
42,Private,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,equal to 0,45,United-States,1
29,Private,1,Divorced,Tech-support,Not-in-family,White,Male,equal to 0,58,United-States,0
36,Private,0,Married-civ-spouse,Craft-repair,Husband,White,Male,equal to 0,40,United-States,0
28,Private,1,Divorced,Adm-clerical,Not-in-family,White,Female,equal to 0,40,United-States,0
53,Private,0,Married-civ-spouse,Adm-clerical,Wife,White,Female,equal to 0,40,United-States,1
49,Self-emp-inc,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,equal to 0,50,United-States,1
25,Private,1,Never-married,Prof-specialty,Own-child,White,Male,equal to 0,40,United-States,0
19,Private,1,Never-married,Prof-specialty,Own-child,White,Male,equal to 0,32,United-States,0
31,Private,2,Separated,Sales,Own-child,Black,Female,equal to 0,40,United-States,0
29,Self-emp-not-inc,2,Married-civ-spouse,Sales,Husband,White,Male,equal to 0,70,United-States,1
23,Private,1,Never-married,Machine-op-inspct,Not-in-family,White,Male,equal to 0,40,United-States,0
79,Private,1,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,equal to 0,20,United-States,0
27,Private,0,Never-married,Other-service,Own-child,White,Male,equal to 0,40,Mexico,0
40,Private,1,Married-civ-spouse,Adm-clerical,Husband,White,Male,equal to 0,40,United-States,0
67,Private,0,Married-civ-spouse,Prof-specialty,Husband,White,Male,equal to 0,2,United-States,0
18,Private,0,Never-married,Other-service,Own-child,White,Female,equal to 0,22,United-States,0
31,Local-gov,0,Married-civ-spouse,Farming-fishing,Husband,White,Male,equal to 0,40,United-States,0
18,Private,0,Never-married,Sales,Not-in-family,White,Male,equal to 0,30,United-States,0
52,Private,2,Married-civ-spouse,Other-service,Husband,White,Male,equal to 0,40,Cuba,0
46,Private,0,Married-civ-spouse,Other-service,Wife,White,Female,equal to 0,40,United-States,0
59,Private,0,Married-civ-spouse,Sales,Husband,White,Male,equal to 0,48,United-States,0
44,Private,0,Divorced,Craft-repair,Not-in-family,White,Female,between 0 and 50K,40,United-States,1
53,Private,0,Divorced,Sales,Own-child,White,Female,equal to 0,35,United-States,0
49,Local-gov,0,Married-civ-spouse,Protective-serv,Husband,White,Male,equal to 0,40,United-States,1
33,Private,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,equal to 0,50,United-States,0
30,Private,0,Never-married,Sales,Not-in-family,White,Male,equal to 0,40,United-States,0
43,Federal-gov,4,Never-married,Prof-specialty,Not-in-family,White,Female,equal to 0,50,United-States,1
57,Private,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,equal to 0,40,United-States,0
37,Private,1,Divorced,Craft-repair,Unmarried,White,Female,equal to 0,40,United-States,0
28,Private,1,Divorced,Machine-op-inspct,Unmarried,Black,Female,equal to 0,25,United-States,0
30,Private,0,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,between -50K and 0,35,United-States,0
34,Local-gov,2,Married-civ-spouse,Protective-serv,Husband,White,Male,equal to 0,40,United-States,1
29,Local-gov,1,Never-married,Handlers-cleaners,Not-in-family,White,Male,equal to 0,50,United-States,0
48,Self-emp-not-inc,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,between -50K and 0,60,United-States,1
37,Private,1,Married-civ-spouse,Sales,Husband,White,Male,equal to 0,48,United-States,1
48,Private,1,Divorced,Exec-managerial,Unmarried,White,Female,equal to 0,40,England,0
32,Federal-gov,0,Never-married,Other-service,Own-child,Black,Male,equal to 0,40,United-States,0
76,Private,3,Married-civ-spouse,Exec-managerial,Husband,White,Male,equal to 0,40,United-States,1
44,Private,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,between 0 and 50K,60,United-States,1
47,Self-emp-not-inc,3,Never-married,Prof-specialty,Not-in-family,White,Female,equal to 0,50,United-States,0
20,Private,1,Never-married,Tech-support,Own-child,White,Female,equal to 0,40,United-States,0
29,Private,0,Never-married,Craft-repair,Not-in-family,White,Male,equal to 0,40,United-States,0
32,Self-emp-inc,0,Married-civ-spouse,Craft-repair,Husband,White,Male,between 0 and 50K,40,United-States,1
17,Private,0,Never-married,Prof-specialty,Own-child,White,Female,between 0 and 50K,32,United-States,0
30,Private,0,Never-married,Handlers-cleaners,Own-child,White,Male,equal to 0,40,United-States,0
31,Local-gov,0,Never-married,Adm-clerical,Not-in-family,White,Female,equal to 0,40,United-States,0
42,Private,0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,equal to 0,40,United-States,0
24,Private,2,Never-married,Sales,Other-relative,White,Male,equal to 0,40,United-States,0
38,Private,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,equal to 0,40,United-States,1
56,Self-emp-not-inc,0,Married-civ-spouse,Other-service,Husband,White,Male,between -50K and 0,50,Canada,1
28,Private,1,Married-civ-spouse,Sales,Wife,White,Female,between 0 and 50K,25,United-States,0
36,Private,0,Never-married,Machine-op-inspct,Own-child,White,Female,equal to 0,40,United-States,0
53,Private,0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,equal to 0,50,United-States,0
56,Self-emp-inc,1,Married-civ-spouse,Sales,Husband,White,Male,equal to 0,50,United-States,0
49,Local-gov,1,Married-civ-spouse,Craft-repair,Husband,Black,Male,equal to 0,40,United-States,1
55,Private,1,Married-civ-spouse,Sales,Husband,White,Male,equal to 0,56,United-States,0
22,Private,0,Never-married,Craft-repair,Not-in-family,White,Male,equal to 0,41,United-States,0
21,Private,1,Never-married,Other-service,Own-child,White,Female,equal to 0,40,United-States,0
40,Private,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,equal to 0,60,United-States,0
30,Private,2,Never-married,Exec-managerial,Own-child,Black,Male,equal to 0,40,Germany,0
29,State-gov,2,Married-civ-spouse,Prof-specialty,Husband,White,Male,equal to 0,50,United-States,1
19,Private,1,Never-married,Other-service,Own-child,Black,Male,equal to 0,35,United-States,0
47,Private,2,Married-civ-spouse,Exec-managerial,Wife,White,Female,equal to 0,40,United-States,1
20,Private,1,Never-married,Adm-clerical,Own-child,White,Female,between -50K and 0,28,United-States,0
31,Private,1,Married-civ-spouse,Adm-clerical,Husband,White,Male,equal to 0,40,United-States,1
35,Private,0,Married-civ-spouse,Prof-specialty,Husband,White,Male,equal to 0,40,United-States,0
39,Private,1,Divorced,Craft-repair,Not-in-family,White,Male,equal to 0,40,United-States,0
28,Private,1,Never-married,Sales,Not-in-family,White,Female,equal to 0,60,United-States,0
24,Private,0,Never-married,Other-service,Not-in-family,White,Female,between -50K and 0,40,United-States,0
38,Self-emp-not-inc,0,Married-civ-spouse,Craft-repair,Husband,White,Male,between 0 and 50K,35,United-States,0
37,Private,2,Married-civ-spouse,Sales,Husband,White,Male,equal to 0,50,United-States,0
46,Private,1,Divorced,Tech-support,Not-in-family,Black,Female,equal to 0,36,United-States,0
38,Federal-gov,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,equal to 0,40,Iran,1
43,Self-emp-not-inc,0,Married-civ-spouse,Craft-repair,Husband,White,Male,equal to 0,60,United-States,0
27,Private,1,Married-civ-spouse,Adm-clerical,Wife,White,Female,equal to 0,35,United-States,0
20,Private,1,Never-married,Sales,Own-child,White,Male,equal to 0,20,United-States,0
49,Private,1,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,equal to 0,40,United-States,1
61,Self-emp-inc,0,Married-civ-spouse,Craft-repair,Husband,White,Male,equal to 0,40,United-States,0
27,Private,1,Never-married,Sales,Own-child,White,Female,equal to 0,40,United-States,0
19,Private,1,Never-married,Other-service,Own-child,White,Male,equal to 0,30,Mexico,0
45,Private,1,Never-married,Prof-specialty,Not-in-family,White,Female,between -50K and 0,40,United-States,1
70,Private,1,Never-married,Tech-support,Other-relative,White,Male,equal to 0,40,United-States,0
31,Private,0,Never-married,Transport-moving,Unmarried,Black,Female,equal to 0,30,United-States,0
22,Private,1,Married-civ-spouse,Other-service,Husband,White,Male,equal to 0,24,United-States,0
36,Private,0,Widowed,Other-service,Unmarried,White,Female,equal to 0,24,United-States,0
64,Private,0,Married-civ-spouse,Craft-repair,Husband,White,Male,between -50K and 0,40,United-States,0
43,Private,1,Divorced,Prof-specialty,Not-in-family,White,Female,equal to 0,40,United-States,0
47,Local-gov,1,Divorced,Adm-clerical,Unmarried,White,Female,equal to 0,38,Mexico,0
34,Private,0,Never-married,Adm-clerical,Not-in-family,White,Female,equal to 0,40,United-States,0
33,Private,2,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,equal to 0,40,Philippines,0
21,Private,0,Never-married,Craft-repair,Own-child,White,Male,equal to 0,35,United-States,0
52,Private,0,Divorced,Prof-specialty,Not-in-family,White,Male,equal to 0,45,United-States,1
48,Private,0,Married-civ-spouse,Craft-repair,Husband,White,Male,equal to 0,46,United-States,0
23,Private,2,Never-married,Handlers-cleaners,Not-in-family,White,Male,equal to 0,40,United-States,0
71,Self-emp-not-inc,1,Separated,Sales,Unmarried,Black,Male,between -50K and 0,2,United-States,0
29,Private,0,Divorced,Craft-repair,Not-in-family,White,Male,equal to 0,60,United-States,0
42,Private,2,Separated,Other-service,Other-relative,Black,Male,equal to 0,50,United-States,0
68,Private,0,Divorced,Prof-specialty,Not-in-family,White,Female,equal to 0,20,United-States,0
25,Private,0,Never-married,Other-service,Unmarried,White,Female,equal to 0,40,United-States,0
44,Self-emp-inc,3,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,equal to 0,40,United-States,0
28,Private,0,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,equal to 0,40,England,0
45,Self-emp-not-inc,3,Married-civ-spouse,Sales,Husband,White,Male,equal to 0,40,United-States,1
36,Private,1,Divorced,Other-service,Unmarried,White,Female,equal to 0,40,Mexico,0
39,Federal-gov,1,Never-married,Exec-managerial,Not-in-family,White,Male,equal to 0,42,United-States,0
46,State-gov,3,Widowed,Protective-serv,Unmarried,White,Male,equal to 0,40,United-States,0
18,Private,0,Never-married,Handlers-cleaners,Own-child,White,Male,equal to 0,16,United-States,0
66,Local-gov,1,Widowed,Prof-specialty,Not-in-family,White,Female,equal to 0,20,United-States,0
27,Private,0,Never-married,Other-service,Not-in-family,White,Male,between -50K and 0,40,United-States,0
28,State-gov,0,Married-civ-spouse,Protective-serv,Husband,White,Male,equal to 0,40,United-States,0
51,Private,1,Married-civ-spouse,Sales,Husband,White,Male,between -50K and 0,40,United-States,1
27,Private,2,Never-married,Craft-repair,Not-in-family,White,Male,equal to 0,50,United-States,0
28,State-gov,2,Married-civ-spouse,Prof-specialty,Husband,White,Male,equal to 0,40,United-States,1
27,Private,0,Married-spouse-absent,Sales,Unmarried,White,Female,equal to 0,25,United-States,0
21,Private,0,Never-married,Craft-repair,Own-child,Black,Male,equal to 0,40,United-States,0
34,Private,0,Never-married,Handlers-cleaners,Not-in-family,Black,Male,equal to 0,40,United-States,0
18,Private,0,Never-married,Other-service,Own-child,White,Male,equal to 0,12,United-States,0
33,Private,2,Married-civ-spouse,Prof-specialty,Husband,White,Male,equal to 0,65,United-States,0
44,Local-gov,1,Married-civ-spouse,Exec-managerial,Husband,Black,Male,equal to 0,38,United-States,1
43,Private,1,Divorced,Adm-clerical,Not-in-family,White,Female,equal to 0,40,United-States,0
30,Private,1,Never-married,Craft-repair,Not-in-family,Black,Male,equal to 0,45,United-States,0
40,Private,0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,equal to 0,40,Mexico,1
37,Federal-gov,1,Married-civ-spouse,Adm-clerical,Husband,White,Male,equal to 0,42,United-States,1
34,Private,0,Married-civ-spouse,Adm-clerical,Husband,Black,Male,equal to 0,40,United-States,0
41,Self-emp-not-inc,2,Divorced,Exec-managerial,Not-in-family,White,Female,equal to 0,40,United-States,0
53,Private,2,Divorced,Prof-specialty,Not-in-family,White,Female,equal to 0,50,United-States,0
31,Private,3,Married-civ-spouse,Prof-specialty,Wife,White,Female,equal to 0,50,United-States,0
58,State-gov,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,equal to 0,1,United-States,1
38,Private,1,Divorced,Machine-op-inspct,Not-in-family,Black,Female,equal to 0,28,United-States,0
24,Private,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,equal to 0,40,United-States,0
41,Local-gov,2,Married-civ-spouse,Craft-repair,Husband,Black,Male,equal to 0,40,United-States,0
47,Private,1,Married-civ-spouse,Tech-support,Husband,White,Male,equal to 0,45,United-States,0
41,Federal-gov,2,Married-civ-spouse,Tech-support,Husband,White,Male,equal to 0,24,United-States,0
23,Private,0,Married-civ-spouse,Transport-moving,Other-relative,White,Male,equal to 0,40,Mexico,0
36,Private,1,Divorced,Craft-repair,Not-in-family,White,Male,equal to 0,40,United-States,0
40,Federal-gov,3,Never-married,Exec-managerial,Not-in-family,White,Female,between 0 and 50K,55,United-States,1
35,Private,3,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,between 0 and 50K,40,United-States,1
24,Self-emp-not-inc,0,Never-married,Sales,Not-in-family,White,Male,equal to 0,40,United-States,0
26,Private,3,Never-married,Prof-specialty,Not-in-family,White,Female,between -50K and 0,40,United-States,0
19,Private,0,Never-married,Prof-specialty,Own-child,White,Male,equal to 0,40,Italy,0
51,Private,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,equal to 0,50,United-States,1
42,Local-gov,1,Never-married,Prof-specialty,Not-in-family,White,Female,between -50K and 0,40,United-States,0
37,State-gov,0,Divorced,Adm-clerical,Unmarried,White,Female,equal to 0,35,United-States,0
18,Private,0,Never-married,Sales,Own-child,White,Female,equal to 0,40,United-States,0
36,Private,2,Married-civ-spouse,Other-service,Husband,Black,Male,between 0 and 50K,36,United-States,1
35,Private,0,Divorced,Craft-repair,Not-in-family,White,Male,equal to 0,60,United-States,0
58,Self-emp-inc,0,Married-civ-spouse,Sales,Wife,White,Female,between 0 and 50K,35,United-States,1
17,Private,0,Never-married,Sales,Own-child,White,Female,equal to 0,12,United-States,0
44,Local-gov,0,Married-civ-spouse,Transport-moving,Husband,Black,Male,equal to 0,40,United-States,0
37,Private,0,Married-civ-spouse,Craft-repair,Husband,White,Male,equal to 0,40,United-States,1
35,Private,1,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,equal to 0,40,United-States,0
60,Private,0,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,equal to 0,40,United-States,0
54,Self-emp-inc,0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,equal to 0,40,United-States,1
37,Private,2,Never-married,Exec-managerial,Not-in-family,Black,Male,equal to 0,60,United-States,1
50,Private,1,Divorced,Sales,Not-in-family,White,Female,equal to 0,40,United-States,0
38,Private,2,Married-civ-spouse,Sales,Husband,White,Male,equal to 0,50,Poland,0
45,Private,2,Married-civ-spouse,Prof-specialty,Husband,White,Male,equal to 0,55,United-States,0
25,Private,0,Never-married,Craft-repair,Not-in-family,White,Male,equal to 0,40,United-States,0
31,Private,1,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,equal to 0,40,United-States,0
64,Private,0,Divorced,Prof-specialty,Not-in-family,White,Male,equal to 0,40,United-States,0
54,Private,0,Married-civ-spouse,Adm-clerical,Husband,Black,Male,equal to 0,20,United-States,0
53,Local-gov,0,Never-married,Machine-op-inspct,Not-in-family,White,Female,equal to 0,35,United-States,0
18,Private,0,Never-married,Sales,Own-child,White,Female,equal to 0,40,United-States,0
60,Private,0,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,equal to 0,10,United-States,0
66,Self-emp-not-inc,0,Married-civ-spouse,Farming-fishing,Husband,White,Male,between 0 and 50K,50,United-States,0
75,Private,1,Widowed,Adm-clerical,Not-in-family,White,Female,equal to 0,20,Columbia,0
65,Private,0,Divorced,Adm-clerical,Not-in-family,White,Female,equal to 0,40,United-States,0
35,Private,0,Separated,Transport-moving,Not-in-family,Black,Male,between 0 and 50K,40,United-States,0
41,Private,0,Divorced,Sales,Unmarried,Black,Female,equal to 0,38,United-States,0
25,Private,1,Never-married,Adm-clerical,Not-in-family,White,Male,equal to 0,42,United-States,0
33,Private,1,Divorced,Craft-repair,Other-relative,Other,Female,equal to 0,40,United-States,0
28,Private,3,Never-married,Prof-specialty,Not-in-family,White,Male,equal to 0,55,United-States,1
59,State-gov,0,Married-civ-spouse,Other-service,Husband,White,Male,equal to 0,40,United-States,0
40,State-gov,1,Never-married,Adm-clerical,Not-in-family,White,Female,equal to 0,38,United-States,0
41,Private,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,equal to 0,50,Iran,1
38,Local-gov,3,Married-civ-spouse,Exec-managerial,Husband,White,Male,equal to 0,70,United-States,1
23,Private,0,Never-married,Transport-moving,Own-child,White,Male,equal to 0,40,United-States,0
40,Private,2,Married-civ-spouse,Prof-specialty,Husband,White,Male,equal to 0,40,United-States,1
41,Self-emp-not-inc,0,Married-civ-spouse,Other-service,Wife,White,Female,equal to 0,20,United-States,0
24,State-gov,1,Married-civ-spouse,Protective-serv,Husband,White,Male,equal to 0,50,United-States,0
20,Private,1,Never-married,Prof-specialty,Own-child,White,Male,equal to 0,20,United-States,0
38,Private,1,Divorced,Craft-repair,Not-in-family,White,Male,between -50K and 0,40,United-States,0
56,Private,0,Married-civ-spouse,Adm-clerical,Husband,White,Male,equal to 0,35,United-States,0
58,Private,0,Married-civ-spouse,Adm-clerical,Husband,White,Male,equal to 0,45,United-States,1
32,Private,0,Never-married,Other-service,Not-in-family,White,Female,equal to 0,34,United-States,0
40,Private,1,Married-civ-spouse,Tech-support,Husband,White,Male,between -50K and 0,60,United-States,1
45,Private,0,Married-civ-spouse,Adm-clerical,Husband,White,Male,equal to 0,40,United-States,0
41,Private,3,Married-civ-spouse,Prof-specialty,Wife,White,Female,equal to 0,40,United-States,1
42,Private,2,Married-civ-spouse,Adm-clerical,Wife,Black,Female,equal to 0,40,United-States,0
59,Local-gov,0,Widowed,Other-service,Unmarried,Black,Female,equal to 0,30,United-States,0
19,Local-gov,1,Never-married,Adm-clerical,Own-child,White,Male,equal to 0,40,United-States,0
58,Private,1,Never-married,Transport-moving,Not-in-family,White,Male,equal to 0,20,United-States,0
42,Self-emp-not-inc,0,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,equal to 0,40,Cambodia,1
20,Private,0,Never-married,Other-service,Own-child,White,Female,equal to 0,40,United-States,0
32,Private,0,Separated,Other-service,Not-in-family,White,Female,equal to 0,30,United-States,0
45,Private,1,Widowed,Exec-managerial,Not-in-family,White,Female,equal to 0,45,United-States,0
50,Private,0,Divorced,Craft-repair,Not-in-family,White,Male,equal to 0,40,United-States,0
36,Private,2,Divorced,Prof-specialty,Own-child,White,Female,equal to 0,40,United-States,0
45,Private,0,Married-civ-spouse,Sales,Husband,White,Male,equal to 0,60,United-States,0
17,Private,0,Never-married,Other-service,Own-child,White,Male,equal to 0,12,United-States,0
59,Private,1,Married-civ-spouse,Sales,Husband,White,Male,between 0 and 50K,40,United-States,0
26,Private,0,Married-civ-spouse,Craft-repair,Husband,White,Male,equal to 0,40,United-States,0
37,Self-emp-inc,1,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,equal to 0,75,Thailand,1
19,Private,1,Never-married,Prof-specialty,Own-child,White,Male,equal to 0,24,Canada,0
64,Private,0,Married-civ-spouse,Exec-managerial,Husband,White,Male,equal to 0,40,United-States,1
33,Private,2,Never-married,Prof-specialty,Not-in-family,White,Female,equal to 0,45,United-States,0
33,Private,0,Married-civ-spouse,Craft-repair,Wife,White,Female,equal to 0,40,United-States,1
61,Private,0,Married-civ-spouse,Exec-managerial,Husband,White,Male,equal to 0,40,United-States,1
17,Private,0,Never-married,Other-service,Own-child,White,Male,between 0 and 50K,24,United-States,0
50,Self-emp-not-inc,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,between 0 and 50K,98,United-States,0
27,Local-gov,3,Never-married,Prof-specialty,Own-child,White,Male,equal to 0,35,United-States,0
30,Private,0,Divorced,Prof-specialty,Own-child,White,Female,equal to 0,40,United-States,0
43,Private,0,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,equal to 0,40,United-States,0
44,Private,1,Married-civ-spouse,Craft-repair,Husband,White,Male,between 0 and 50K,40,United-States,1
35,Private,1,Never-married,Exec-managerial,Not-in-family,White,Female,equal to 0,40,United-States,0
25,Private,1,Never-married,Tech-support,Own-child,White,Female,equal to 0,40,United-States,0
24,Private,1,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,between 0 and 50K,48,United-States,1
22,Private,2,Never-married,Prof-specialty,Not-in-family,White,Female,equal to 0,15,Germany,0
42,Local-gov,1,Married-civ-spouse,Craft-repair,Husband,White,Male,between 0 and 50K,40,United-States,1
34,Private,1,Divorced,Sales,Unmarried,Black,Female,equal to 0,45,United-States,0
60,Private,2,Divorced,Prof-specialty,Not-in-family,White,Female,equal to 0,42,United-States,0
21,Private,0,Never-married,Handlers-cleaners,Own-child,White,Male,equal to 0,40,United-States,0
57,Federal-gov,3,Married-civ-spouse,Sales,Husband,White,Male,between 0 and 50K,40,United-States,1
41,Private,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,equal to 0,60,United-States,1
50,Private,1,Divorced,Other-service,Not-in-family,White,Male,equal to 0,45,United-States,0
25,Private,2,Never-married,Exec-managerial,Not-in-family,White,Female,equal to 0,40,United-States,0
50,Private,0,Married-civ-spouse,Craft-repair,Husband,White,Male,equal to 0,40,Ecuador,0
36,Private,2,Married-civ-spouse,Prof-specialty,Husband,White,Male,equal to 0,45,United-States,0
